Fornecedor,ContaContabil,UniMedida,QtdReceber,QtdComprada,ValorReceber,ValorComprado,Recuperadas
3,1,3,0,600,0.0,180.0,1
3,1,3,0,280,0.0,1590.4,1
3,1,0,0,56,0.0,141.68,0
3,3,3,0,180,0.0,207.0,1
3,3,3,0,180,0.0,142.2,1
3,3,3,0,28,0.0,44.52,1
27,1,1,8,12,107666.24,161499.36,1
27,1,1,12,16,645998.28,861331.04,1
37,1,3,0,26040,0.0,1781136.0,0
3,1,3,0,180,0.0,90.0,1
3,1,3,0,60,0.0,31.2,0
3,1,16,0,2,0.0,250.32,1
28,1,0,0,40,0.0,1136.4,1
53,1,0,0,120,0.0,1059.6,1
53,1,1,0,2,0.0,1348.0,0
53,1,1,0,1,0.0,10572.98,0
53,1,0,0,120,0.0,28.8,0
53,1,3,0,32,0.0,18.56,1
53,3,24,0,60,0.0,42.0,0
0,1,1,0,375,0.0,485520.0,0
27,1,1,0,48,0.0,305876.16,0
27,1,1,0,12,0.0,30587.52,0
53,3,3,0,200,0.0,116.0,0
13,1,1,0,468,0.0,332996.04,0
1,3,3,2700,2700,6642.0,6642.0,1
49,3,0,0,240,0.0,1694.4,0
46,1,3,0,360,0.0,18849.6,0
8,1,0,86,86,97074.22,97074.22,0
46,1,1,0,360,0.0,72363.6,1
53,3,5,0,28,0.0,204.12,1
53,3,3,0,168,0.0,183.12,1
5,0,6,0,72000,0.0,33120.0,1
5,0,6,0,124800,0.0,16224.0,1
54,1,0,0,120,0.0,1059.6,0
3,1,1,0,1,0.0,11917.34,0
3,1,5,0,270,0.0,264.6,1
53,1,3,0,60,0.0,4.2,0
53,1,3,0,70,0.0,7291.2,0
53,1,3,0,60,0.0,31.2,1
53,1,1,0,6,0.0,2298.24,0
53,3,3,0,210,0.0,231.0,0
3,2,16,0,5,0.0,87.5,1
3,1,16,0,1,0.0,37.93,1
3,1,0,0,630,0.0,11516.4,0
3,1,3,0,60,0.0,49.8,0
3,1,0,0,90,0.0,4450.5,0
3,1,1,0,7,0.0,2228.1,1
3,1,0,0,45,0.0,4436.1,0
3,1,5,0,30,0.0,553.8,1
3,1,5,0,15,0.0,161.4,0
3,1,3,0,140,0.0,266.0,1
3,3,3,0,800,0.0,32.0,1
3,3,3,0,900,0.0,522.0,1
0,1,3,0,360,0.0,49762.8,1
46,1,3,0,5040,0.0,263894.4,0
13,1,1,0,860,0.0,611915.8,1
37,1,3,0,45840,0.0,3135456.0,0
37,1,1,0,72,0.0,105773.04,0
55,1,1,210,236,156328.2,175683.12,0
46,1,0,0,3240,0.0,518043.6,1
21,3,3,0,1200,0.0,864.0,1
37,1,3,0,31800,0.0,2246034.0,1
41,2,0,0,12200,0.0,12673.36,0
56,2,0,75000,75000,49500.0,49500.0,0
34,2,0,225000,225000,135000.0,135000.0,0
27,1,1,0,6,0.0,38234.52,1
27,1,1,0,18,0.0,114703.56,1
0,1,3,15,315,2790.75,58605.75,0
0,1,1,0,9,0.0,75957.48,0
0,1,3,15,945,2790.75,175817.25,1
0,1,1,0,3,0.0,25319.16,0
49,3,0,0,60,0.0,423.6,0
53,1,3,0,60,0.0,7.2,1
53,1,5,0,120,0.0,91.2,1
53,1,3,0,120,0.0,39.6,0
53,3,3,0,90,0.0,123.3,0
53,3,5,0,28,0.0,204.12,0
53,1,4,0,60,0.0,2619.0,1
53,1,0,0,240,0.0,45.6,0
53,1,16,0,7,0.0,876.12,1
5,1,16,0,8,0.0,292.8,0
5,1,16,0,2,0.0,73.2,0
5,3,3,0,30,0.0,33.0,0
52,1,16,0,10,0.0,1790.0,1
4,1,5,0,1260,0.0,238757.4,1
57,1,1,0,160,0.0,279200.0,0
1,3,3,2700,2700,6642.0,6642.0,1
4,1,1,0,50,0.0,1842075.0,0
5,1,16,0,1,0.0,36.6,0
0,1,5,0,1620,0.0,45635.4,0
14,1,3,0,2408,0.0,1781.92,1
14,1,0,0,600,0.0,570.0,1
2,1,3,0,20280,0.0,5678.4,1
46,1,5,0,360,0.0,138024.0,1
27,1,1,0,18,0.0,114703.56,0
27,1,1,0,6,0.0,38234.52,1
22,1,0,0,50,0.0,322093.0,1
37,1,5,0,2160,0.0,152820.0,0
53,1,16,0,8,0.0,143.6,0
53,1,5,0,50,0.0,35.5,0
53,1,22,0,1,0.0,30.02,1
53,1,14,0,28,0.0,278.32,1
53,1,3,0,180,0.0,93.6,1
53,3,3,0,120,0.0,61.2,0
53,3,3,0,120,0.0,132.0,0
0,1,1,0,120,0.0,632979.6,1
14,1,3,0,2,0.0,1.48,0
53,1,3,0,30,0.0,2.1,1
53,1,3,0,100,0.0,38.0,1
53,1,5,0,40,0.0,2834.0,0
53,3,3,0,540,0.0,124.2,1
3,1,3,0,60,0.0,4.2,1
3,1,1,0,3,0.0,3953.61,1
3,0,6,0,4800,0.0,1152.0,1
58,1,0,0,72,0.0,836.64,0
88,1,3,0,1500,0.0,75.0,1
53,3,3,0,360,0.0,82.8,1
14,1,3,0,924,0.0,1903.44,0
14,1,3,0,1200,0.0,3168.0,1
14,1,0,600,600,756.0,756.0,0
14,1,15,170,170,1718.7,1718.7,1
0,1,3,28,1092,3139.36,122435.04,0
0,1,3,28,364,3139.36,40811.68,1
12,0,6,0,48000,0.0,2400.0,0
12,0,6,0,24000,0.0,3360.0,1
12,0,6,0,24000,0.0,2880.0,0
12,0,6,0,72000,0.0,30960.0,0
4,1,3,0,1624,0.0,340812.64,0
17,0,6,0,270000,0.0,5400.0,0
17,0,6,0,6000,0.0,120.0,1
